Component,Origin,License,Copyright
addr2line,https://github.com/gimli-rs/addr2line,Apache-2.0 OR MIT,The gimli Developers
adler2,https://github.com/oyvindln/adler2,0BSD OR MIT OR Apache-2.0,The adler2 Authors
aes,https://github.com/RustCrypto/block-ciphers,MIT OR Apache-2.0,Artyom Pavlov
ahash,https://github.com/tkaitchuck/ahash,MIT OR Apache-2.0,Tom Kaitchuck
aho-corasick,https://github.com/BurntSushi/aho-corasick,Unlicense OR MIT,Andrew Gallant
allocator-api2,https://github.com/zakarumych/allocator-api2,MIT OR Apache-2.0,The allocator-api2 Authors
android_system_properties,https://github.com/nical/android_system_properties,MIT/Apache-2.0,Nicolas Silva
anstream,https://github.com/rust-cli/anstyle.git,MIT OR Apache-2.0,The anstream Authors
anstyle,https://github.com/rust-cli/anstyle.git,MIT OR Apache-2.0,The anstyle Authors
anstyle-parse,https://github.com/rust-cli/anstyle.git,MIT OR Apache-2.0,The anstyle-parse Authors
anstyle-query,https://github.com/rust-cli/anstyle.git,MIT OR Apache-2.0,The anstyle-query Authors
anstyle-wincon,https://github.com/rust-cli/anstyle.git,MIT OR Apache-2.0,The anstyle-wincon Authors
anyhow,https://github.com/dtolnay/anyhow,MIT OR Apache-2.0,The anyhow Authors
arbitrary,https://github.com/rust-fuzz/arbitrary/,MIT OR Apache-2.0,Manish Goregaokar
arc-swap,https://github.com/vorner/arc-swap,MIT OR Apache-2.0,The arc-swap Authors
arrayref,https://github.com/droundy/arrayref,BSD-2-Clause,David Roundy
assert-json-diff,https://github.com/davidpdrsn/assert-json-diff.git,MIT,David Pedersen
async-lock,https://github.com/smol-rs/async-lock,Apache-2.0 OR MIT,The async-lock Authors
async-object-pool,https://github.com/alexliesenfeld/async-object-pool,MIT,Alexander Liesenfeld
async-trait,https://github.com/dtolnay/async-trait,MIT OR Apache-2.0,The async-trait Authors
atomic-waker,https://github.com/smol-rs/atomic-waker,Apache-2.0 OR MIT,The atomic-waker Authors
aws-lc-rs,https://github.com/aws/aws-lc-rs,ISC AND (Apache-2.0 OR ISC),Amazon.com; Inc. or its affiliates
aws-lc-sys,https://github.com/aws/aws-lc-rs,ISC AND (Apache-2.0 OR ISC) AND OpenSSL,Google Inc
backtrace,https://github.com/rust-lang/backtrace-rs,MIT OR Apache-2.0,Alex Crichton
base64,https://github.com/marshallpierce/rust-base64,MIT OR Apache-2.0,Alice Maz
bincode,https://github.com/servo/bincode,MIT,Ty Overby
bitflags,https://github.com/bitflags/bitflags,MIT OR Apache-2.0,The Rust Project Developers
bitmaps,https://github.com/bodil/bitmaps,MPL-2.0+,The bitmaps Authors
blazesym,https://github.com/libbpf/blazesym,BSD-3-Clause,The blazesym Authors
blazesym-c,https://github.com/libbpf/blazesym,BSD-3-Clause,The blazesym-c Authors
block-buffer,https://github.com/RustCrypto/utils,MIT OR Apache-2.0,The RustCrypto Project Developers
block2,https://github.com/madsmtm/objc2,MIT,The block2 Authors
bolero,https://github.com/camshaft/bolero,MIT,The bolero Authors
bolero-afl,https://github.com/camshaft/bolero,MIT,The bolero-afl Authors
bolero-engine,https://github.com/camshaft/bolero,MIT,The bolero-engine Authors
bolero-generator,https://github.com/camshaft/bolero,MIT,The bolero-generator Authors
bolero-generator-derive,https://github.com/camshaft/bolero,MIT,The bolero-generator-derive Authors
bolero-honggfuzz,https://github.com/camshaft/bolero,MIT,The bolero-honggfuzz Authors
bolero-kani,https://github.com/camshaft/bolero,MIT,The bolero-kani Authors
bolero-libfuzzer,https://github.com/camshaft/bolero,MIT,The bolero-libfuzzer Authors
bumpalo,https://github.com/fitzgen/bumpalo,MIT OR Apache-2.0,Nick Fitzgerald
byteorder,https://github.com/BurntSushi/byteorder,Unlicense OR MIT,Andrew Gallant
bytes,https://github.com/tokio-rs/bytes,MIT,Carl Lerche
bzip2,https://github.com/trifectatechfoundation/bzip2-rs,MIT OR Apache-2.0,The bzip2 Authors
cadence,https://github.com/56quarters/cadence,Apache-2.0/MIT,The cadence Authors
camino,https://github.com/camino-rs/camino,MIT OR Apache-2.0,The camino Authors
cargo-platform,https://github.com/rust-lang/cargo,MIT OR Apache-2.0,The cargo-platform Authors
cargo_metadata,https://github.com/oli-obk/cargo_metadata,MIT,The cargo_metadata Authors
cbindgen,https://github.com/mozilla/cbindgen,MPL-2.0,The cbindgen Authors
cc,https://github.com/rust-lang/cc-rs,MIT OR Apache-2.0,Alex Crichton
cfg-if,https://github.com/rust-lang/cfg-if,MIT OR Apache-2.0,Alex Crichton
